id,dealer_id,type,debit,credit,description,date,created_at,restock_id,payment_type,payment_proof,return_id
7134,10,Purchase,96000,0,"Restock: Tissue Party pink 700 gm (Qty: 600)",2026-02-28,"2026-03-03 13:01:06",332,,,
7135,10,Purchase,22500,0,"Initial: Tissue Party pink 1 kg",2026-02-28,"2026-03-03 13:02:11",333,,,
7136,1,Purchase,213840,213840,"Restock: Alisha Facial kit Local (Qty: 792)",2026-03-03,"2026-03-03 13:10:32",334,,,
7137,1,Purchase,63240,0,"Restock: Scrab Ltr (Qty: 408)",2026-02-27,"2026-03-03 13:17:10",335,,,
69a6993a98a92,10,"Purchase (Edited)",114000,0,"Edited Restock: White Tissue Normal (Qty: 760)",2026-02-28,"2026-03-03 13:18:02",331,,,
7138,20,Purchase,44530,0,"Restock: Wax Jar 300 gm (Qty: 73)",2026-02-28,"2026-03-03 20:50:26",336,,,
7139,20,Purchase,30720,0,"Restock: Finix Hair Spray (Qty: 96)",2026-02-28,"2026-03-03 20:51:17",337,,,
7140,20,Purchase,22499.988,0,"Restock: Jolly Shaving cream (Qty: 168)",2026-02-28,"2026-03-03 20:53:29",338,,,
7141,20,Purchase,25000,0,"Restock: Neck Roll (Qty: 40)",2026-02-28,"2026-03-03 20:54:09",339,,,
7142,20,Purchase,14400,0,"Restock: Pari Hair remove brush (Qty: 18)",2026-02-28,"2026-03-03 20:55:25",340,,,
7143,20,Purchase,75000,0,"Restock: Neck Roll (Qty: 120)",2026-03-02,"2026-03-03 20:57:03",341,,,
7144,20,Purchase,39000,0,"Restock: Shahzad Disposable Razer (Qty: 100)",2026-03-02,"2026-03-03 20:57:53",342,,,
7145,20,Purchase,60480,0,"Restock: Electric hair color (Qty: 360)",2026-03-02,"2026-03-03 20:59:15",343,,,
7146,20,Purchase,48000,0,"Restock: King Star Foam (Qty: 240)",2026-03-02,"2026-03-03 21:00:07",344,,,
7147,20,Purchase,22499.988,0,"Restock: Jolly Shaving cream (Qty: 168)",2026-03-02,"2026-03-03 21:00:42",345,,,
7148,20,Purchase,31968,0,"Initial: Finix Hair Shiner",2026-03-02,"2026-03-03 21:02:42",346,,,
7149,20,Purchase,76800,0,"Restock: Finix Hair Spray (Qty: 240)",2026-03-02,"2026-03-03 21:03:24",347,,,
7150,20,Purchase,79200,0,"Restock: Finix Foam (Qty: 288)",2026-03-02,"2026-03-03 21:04:38",348,,,
7151,20,Purchase,69600,0,"Restock: Wajeeh Hair color tube (Qty: 1200)",2026-03-02,"2026-03-03 21:05:48",349,,,
7152,20,Purchase,48320,0,"Initial: Safex Platinium Razer",2026-03-02,"2026-03-03 21:11:58",350,,,
7154,20,Purchase,23400,0,"Restock: Trimer Machine Gemy 6050 (Qty: 13)",2026-03-02,"2026-03-03 21:51:04",352,,,
7155,20,Purchase,31000,0,"Restock: Trimer Machine Dingling RF-1985 (Qty: 10)",2026-03-02,"2026-03-03 21:51:45",353,,,
7156,20,Purchase,15500,0,"Restock: Trimer Machine Dingling RF-1981 (Qty: 5)",2026-03-02,"2026-03-03 21:55:09",354,,,
7157,20,Purchase,28600,0,"Restock: Trimer Machine VGR-964 (Qty: 13)",2026-03-02,"2026-03-03 22:02:53",355,,,
7158,20,Purchase,14400,0,"Restock: Trimer Machine Dingling D-071 (Qty: 9)",2026-03-02,"2026-03-03 22:03:40",356,,,
7159,20,Purchase,28900,0,"Restock: Trimer Machine Dingling D-290 (Qty: 17)",2026-03-02,"2026-03-03 22:05:17",357,,,
7160,20,Purchase,56350,0,"Restock: Trimer Machine Dingling RF-609 pro (Qty: 23)",2026-03-02,"2026-03-03 22:06:53",358,,,
7161,20,Purchase,20150,0,"Restock: Trimer Machine Dingling RF-1636 (Qty: 13)",2026-03-02,"2026-03-03 22:08:04",359,,,
7162,20,Purchase,840,0,"Restock: Alovera Gel jar (Qty: 12)",2026-03-02,"2026-03-03 22:09:12",360,,,
7163,20,Purchase,4800,0,"Restock: Trimer Machine VGR V-353 (Qty: 4)",2026-03-02,"2026-03-03 22:09:47",361,,,
7164,20,Purchase,11200,0,"Initial: Trimer Machine Dingling RF-1981 c.cash",2026-03-02,"2026-03-03 22:14:35",362,,,
7165,20,Purchase,14400,0,"Restock: Chadar Print china (Qty: 40)",2026-03-02,"2026-03-03 22:15:31",363,,,
7166,20,Purchase,43920,0,"Restock: Trimer Machine Kemyi 3 in 1 mix (Qty: 36)",2026-03-02,"2026-03-03 22:16:48",364,,,
7167,20,Purchase,12600,0,"Initial: Osny Facial Tube kit",2026-03-02,"2026-03-03 22:19:09",365,,,
7168,20,Purchase,3400,0,"Restock: Gosny Apple kit (Qty: 2)",2026-03-02,"2026-03-03 22:20:51",366,,,
69a722a34d4f9,20,"Purchase (Edited)",1700,0,"Edited Restock: Facial Tube kit Cerave (Qty: 2)",2026-02-27,"2026-03-03 23:04:19",298,,,
69a722bf46883,20,"Purchase (Edited)",65700,0,"Edited Restock: Hair Capsule jar (Qty: 180)",2026-03-02,"2026-03-03 23:04:47",351,,,
69a722d9d510c,20,"Purchase (Edited)",7300,0,"Edited Restock: Hair Capsule jar (Qty: 20)",2026-02-27,"2026-03-03 23:05:13",299,,,
7169,20,Purchase,3600,0,"Initial: Gel Burni newfag",2026-03-02,"2026-03-04 11:14:02",367,,,
7170,20,Purchase,62400,0,"Restock: King Hair Spray (Qty: 240)",2026-01-26,"2026-03-04 15:02:38",368,,,
7171,20,Purchase,153600,0,"Restock: Glatt Hair Straitner (Qty: 480)",2026-01-26,"2026-03-04 15:03:36",369,,,
7172,20,Purchase,108000,0,"Restock: Apple China Original 1 kg (Qty: 72)",2026-01-26,"2026-03-04 15:04:50",370,,,
7173,20,Purchase,25000.32,0,"Restock: King Hair Spray (Qty: 96)",2026-03-03,"2026-03-04 16:06:44",371,,,
7174,20,Purchase,1200,0,"Initial: Ustra pcs",2026-01-26,"2026-03-04 17:09:18",372,,,
7175,20,Purchase,360,0,"Initial: Color Piyali",2026-01-26,"2026-03-04 17:10:35",373,,,
69a8282ca050b,20,"Purchase (Edited)",6200,1400,"Edited Restock: Hair natro Wax (Qty: 31)",2026-01-24,"2026-03-04 17:40:12",97,,,
69a828673b64d,20,"Purchase (Edited)",14790,14790,"Edited Restock: Moon Ustra (Qty: 17)",2026-01-24,"2026-03-04 17:41:11",68,,,
7176,20,Purchase,3480,0,"Restock: Moon Ustra (Qty: 4)",2026-02-04,"2026-03-04 17:42:26",374,,,
7177,20,Purchase,4800,0,"Restock: Hair natro Wax (Qty: 24)",2026-02-04,"2026-03-04 17:43:43",375,,,
7178,20,Purchase,6360,0,"Restock: Gellme Shaving foam (Qty: 24)",2026-02-08,"2026-03-04 17:44:53",376,,,
7179,20,Purchase,1200,0,"Initial: Shower Complete",2026-01-26,"2026-03-04 22:53:17",377,,,
7180,20,Purchase,8760,0,"Restock: Hair Capsule jar (Qty: 24)",2026-01-26,"2026-03-04 22:55:04",378,,,
7181,20,Purchase,2120,0,"Restock: Blade Silk pcs (Qty: 10)",2026-03-02,"2026-03-05 11:50:46",379,,,
7182,20,Purchase,2320,0,"Restock: Blade Pro UK pcs (Qty: 10)",2026-03-01,"2026-03-05 11:51:31",380,,,
7183,20,Purchase,1330,0,"Restock: Scissor Jagwar Pcs (Qty: 10)",2026-03-01,"2026-03-05 12:07:23",381,,,
7184,20,Purchase,2020,0,"Initial: Blade Rk pcs",2026-03-01,"2026-03-05 12:33:33",382,,,
7185,14,Purchase,71280,0,"Restock: Orchit Facial (Qty: 324)",2026-03-05,"2026-03-05 16:46:04",383,,,
7186,20,Purchase,19200,0,"Restock: King Star Foam (Qty: 96)",2026-03-04,"2026-03-05 17:56:33",384,,,
7187,20,Purchase,26400,0,"Restock: Finix Foam (Qty: 96)",2026-03-04,"2026-03-05 17:57:07",385,,,
7188,20,Purchase,21000,0,"Initial: Disposible Puff",2026-03-04,"2026-03-05 17:59:07",386,,,
7189,20,Purchase,12500,0,"Restock: Neck Roll (Qty: 20)",2026-03-05,"2026-03-05 18:09:26",387,,,
7190,20,Purchase,24192,0,"Restock: Electric hair color (Qty: 144)",2026-03-05,"2026-03-05 18:10:57",388,,,
7191,20,Purchase,14499.6,0,"Restock: Safex Platinium Razer (Qty: 12)",2026-03-05,"2026-03-05 18:12:21",389,,,
7192,20,Purchase,9300,0,"Restock: Trimer Machine Dingling RF-1981 (Qty: 3)",2026-03-05,"2026-03-05 18:12:51",390,,,
7193,20,Purchase,1400,0,"Restock: Osny Facial Tube kit (Qty: 1)",2026-03-05,"2026-03-05 18:13:16",391,,,
7194,20,Purchase,7350,0,"Restock: Trimer Machine Dingling RF-609 pro (Qty: 3)",2026-03-05,"2026-03-05 18:13:55",392,,,
7195,20,Purchase,7750,0,"Restock: Trimer Machine Dingling RF-1636 (Qty: 5)",2026-03-05,"2026-03-05 18:14:23",393,,,
7196,20,Purchase,10200,0,"Restock: Trimer Machine Dingling D-290 (Qty: 6)",2026-03-05,"2026-03-05 18:14:50",394,,,
7197,20,Purchase,1800,0,"Restock: Trimer Machine Gemy 6050 (Qty: 1)",2026-03-05,"2026-03-05 18:15:14",395,,,
7198,20,Purchase,4800,0,"Restock: Trimer Machine Dingling D-071 (Qty: 3)",2026-03-05,"2026-03-05 18:15:43",396,,,
7199,20,Purchase,6600,0,"Restock: Trimer Machine VGR-964 (Qty: 3)",2026-03-05,"2026-03-05 18:16:30",397,,,
7200,20,Purchase,1110,0,"Restock: Wax Satche (Qty: 6)",2026-01-26,"2026-03-05 22:12:04",398,,,
7201,20,Purchase,375,0,"Initial: Shahzad ustra pcs",2026-01-26,"2026-03-05 22:23:29",399,,,
7202,3,Purchase,5400,0,"Restock: Lahori Facial kit (Qty: 6)",2026-03-04,"2026-03-06 12:09:31",400,,,
7203,3,Purchase,54000,0,"Restock: Wax bottle (Qty: 72)",2026-03-04,"2026-03-06 12:10:42",401,,,
7204,3,Purchase,36000,0,"Restock: Comb- Kanga TH and tony (Qty: 200)",2026-03-04,"2026-03-06 12:11:09",402,,,
